PassengerId,Score
1,1.776
2,2.7410000000000005
3,1.9449999999999998
4,2.5240000000000005
5,1.585
6,1.638
7,1.973
8,1.7
9,2.104
10,2.5840000000000005
11,2.3460000000000005
12,2.333
13,1.585
14,1.635
15,1.9449999999999998
16,2.176
17,1.67
18,1.816
19,2.136
20,2.162
21,1.816
22,1.816
23,1.9979999999999998
24,1.973
25,2.06
26,1.995
27,1.802
28,2.0370000000000004
29,1.9979999999999998
30,1.585
31,2.1900000000000004
32,2.7410000000000005
33,1.9979999999999998
34,1.816
35,2.3810000000000002
36,2.164
37,1.802
38,1.585
39,2.064
40,2.353
41,2.136
42,2.3670000000000004
43,1.802
44,2.7430000000000003
45,1.9979999999999998
46,1.585
47,1.8290000000000002
48,1.9979999999999998
49,1.921
50,2.136
51,1.617
52,1.585
53,2.7410000000000005
54,2.3670000000000004
55,2.4000000000000004
56,1.973
57,2.176
58,1.802
59,2.5260000000000002
60,1.399
61,1.802
62,1.996
63,2.164
64,1.649
65,2.1900000000000004
66,2.2030000000000003
67,2.176
68,1.585
69,1.926
70,1.704
71,1.816
72,1.7590000000000001
73,1.816
74,1.993
75,1.585
76,1.585
77,1.585
78,1.585
79,1.9749999999999999
80,1.9449999999999998
81,1.585
82,1.585
83,1.9979999999999998
84,1.973
85,2.176
86,1.85
87,2.035
88,1.585
89,2.3970000000000002
90,1.585
91,1.585
92,1.585
93,2.164
94,1.935
95,1.585
96,1.585
97,2.1900000000000004
98,2.4000000000000004
99,2.386
100,2.007
101,1.9449999999999998
102,1.585
103,2.1830000000000003
104,1.585
105,1.704
106,1.585
107,1.9449999999999998
108,1.585
109,1.585
110,2.189
111,1.973
112,2.353
113,1.585
114,2.136
115,2.162
116,1.585
117,1.638
118,2.007
119,2.4000000000000004
120,1.926
121,1.9349999999999998
122,1.585
123,2.224
124,2.176
125,2.1830000000000003
126,1.993
127,1.638
128,1.585
129,2.5630000000000006
130,1.585
131,1.802
132,1.585
133,2.136
134,2.3670000000000004
135,1.816
136,2.0330000000000004
137,2.492
138,2.164
139,1.585
140,2.1900000000000004
141,2.3209999999999997
142,1.9449999999999998
143,2.136
144,1.638
145,1.816
146,2.217
147,1.585
148,2.2230000000000003
149,1.9749999999999999
150,1.816
151,1.816
152,2.5240000000000005
153,1.585
154,1.744
155,1.585
156,2.4000000000000004
157,1.9979999999999998
158,1.585
159,1.585
160,1.399
161,1.7950000000000002
162,2.176
163,1.585
164,1.585
165,1.617
166,1.744
167,2.543
168,1.7950000000000002
169,1.973
170,1.585
171,1.973
172,1.67
173,2.3460000000000005
174,1.585
175,2.1900000000000004
176,1.986
177,1.7
178,2.55
179,1.816
180,1.585
181,1.7590000000000001
182,2.0330000000000004
183,1.566
184,2.145
185,2.104
186,1.973
187,2.189
188,1.973
189,2.039
190,1.585
191,2.176
192,1.816
193,2.136
194,2.217
195,2.55
196,2.55
197,1.638
198,1.7950000000000002
199,1.9979999999999998
200,2.176
201,1.585
202,1.399
203,1.585
204,1.802
205,1.585
206,2.1550000000000002
207,1.776
208,1.802
209,1.9979999999999998
210,2.1900000000000004
211,1.585
212,2.176
213,1.585
214,1.816
215,1.8290000000000002
216,2.7410000000000005
217,1.9449999999999998
218,2.007
219,2.55
220,1.816
221,1.585
222,1.816
223,1.585
224,1.585
225,2.164
226,1.585
227,1.816
228,1.585
229,1.816
230,2.06
231,2.5240000000000005
232,1.585
233,1.816
234,1.926
235,1.816
236,1.9449999999999998
237,2.007
238,2.335
239,1.816
240,1.816
241,2.353
242,2.189
243,1.816
244,1.585
245,1.802
246,2.145
247,1.9449999999999998
248,2.335
249,2.374
250,2.007
251,1.585
252,2.3460000000000005
253,1.973
254,1.776
255,2.104
256,2.3209999999999997
257,2.55
258,2.333
259,2.55
260,2.386
261,1.638
262,1.566
263,2.374
264,1.973
265,1.9979999999999998
266,1.816
267,1.617
268,1.776
269,2.543
270,2.333
271,1.973
272,1.585
273,2.386
274,2.4000000000000004
275,1.9979999999999998
276,2.5240000000000005
277,1.9449999999999998
278,1.816
279,1.67
280,2.3460000000000005
281,1.638
282,1.585
283,1.585
284,1.585
285,1.973
286,1.802
287,1.585
288,1.585
289,1.816
290,1.9979999999999998
291,2.333
292,2.7410000000000005
293,2.0330000000000004
294,1.9449999999999998
295,1.585
296,2.1900000000000004
297,1.802
298,2.6830000000000003
299,1.973
300,2.76
301,1.9979999999999998
302,1.7570000000000001
303,1.585
304,2.229
305,1.585
306,2.3230000000000004
307,2.55
308,2.7410000000000005
309,2.224
310,2.55
311,2.55
312,2.8280000000000003
313,2.5770000000000004
314,1.585
315,2.217
316,1.9449999999999998
317,2.3670000000000004
318,1.816
319,2.492
320,2.9510000000000005
321,1.585
322,1.585
323,2.229
324,2.5770000000000004
325,1.399
326,2.55
327,1.585
328,2.176
329,2.3460000000000005
330,2.76
331,2.117
332,1.973
333,2.1830000000000003
334,1.704
335,2.5240000000000005
336,1.585
337,2.164
338,2.55
339,1.585
340,1.973
341,2.217
342,2.3970000000000002
343,1.816
344,1.816
345,1.816
346,2.176
347,2.176
348,2.136
349,1.986
350,1.585
351,1.585
352,1.973
353,2.2030000000000003
354,1.776
355,1.802
356,1.585
357,2.543
358,2.176
359,1.9979999999999998
360,1.9979999999999998
361,1.435
362,2.224
363,2.372
364,1.585
365,1.8290000000000002
366,1.585
367,2.7410000000000005
368,2.162
369,1.9979999999999998
370,2.55
371,2.3810000000000002
372,1.776
373,1.585
374,2.1900000000000004
375,2.06
376,2.7410000000000005
377,1.9449999999999998
378,2.349
379,1.802
380,1.585
381,2.55
382,2.3209999999999997
383,1.585
384,2.5240000000000005
385,1.585
386,1.816
387,1.399
388,2.176
389,1.638
390,2.393
391,2.3230000000000004
392,1.585
393,1.704
394,2.7410000000000005
395,2.104
396,1.585
397,1.9449999999999998
398,1.816
399,1.816
400,2.176
401,1.585
402,1.585
403,2.136
404,1.776
405,1.9449999999999998
406,2.007
407,1.585
408,2.217
409,1.585
410,2.06
411,1.585
412,1.638
413,2.5770000000000004
414,1.816
415,1.585
416,1.9449999999999998
417,2.5770000000000004
418,2.335
419,1.816
420,2.104
421,1.802
422,1.638
423,1.585
424,2.3460000000000005
425,1.986
426,1.585
427,2.3670000000000004
428,2.176
429,1.638
430,1.585
431,1.973
432,2.136
433,2.3670000000000004
434,1.585
435,2.164
436,2.6830000000000003
437,2.2230000000000003
438,2.5540000000000003
439,1.8230000000000002
440,1.816
441,2.5770000000000004
442,1.585
443,1.776
444,2.176
445,1.585
446,2.132
447,2.386
448,1.973
449,2.4910000000000005
450,1.973
451,2.1660000000000004
452,1.776
453,2.1900000000000004
454,2.3810000000000002
455,1.585
456,1.802
457,1.973
458,2.5240000000000005
459,2.176
460,1.638
461,1.973
462,1.585
463,1.973
464,1.816
465,1.585
466,1.585
467,1.816
468,1.973
